keyword,volume,cpc,comp,kd,intent,src,m_2025-08,m_2025-09,m_2025-10,m_2025-11,m_2025-12,m_2026-01,m_2026-02,m_2026-03,m_2026-04,m_2026-05,m_2026-06,m_2026-07
flex rent,40500,5.35,MEDIUM,22,commercial,ideas,40500,40500,40500,33100,40500,33100,27100,33100,40500,40500,49500,49500
united rentals near me,40500,4.37,LOW,18,navigational,ideas,40500,33100,33100,27100,27100,27100,27100,40500,40500,40500,49500,49500
trailers for rent,40500,2.49,MEDIUM,4,transactional,ideas,22200,18100,18100,14800,14800,301000,14800,22200,18100,22200,22200,18100
rv rental share,40500,3.12,LOW,24,transactional,ideas,90500,74000,110000,74000,49500,22200,2900,3600,4400,40500,22200,4400
ski rentals,40500,1.09,LOW,12,commercial,ideas,6600,12100,18100,40500,110000,135000,110000,60500,8100,2900,2400,4400
water slide rentals,40500,2.29,HIGH,9,commercial,ideas,49500,18100,6600,2900,2400,6600,9900,40500,49500,74000,110000,90500
bluebonnet bluebonnet,40500,1.32,LOW,,informational,sugg_bluebonnet,40500,40500,33100,33100,27100,33100,40500,90500,74000,49500,33100,27100
bluebonnet,40500,1.32,LOW,13,informational,sugg_bluebonnet,40500,40500,33100,33100,27100,33100,40500,90500,74000,49500,33100,27100
rent house,33100,1.8,MEDIUM,33,transactional,ideas,33100,33100,27100,27100,27100,40500,33100,40500,40500,40500,40500,40500
motorcycle rental,33100,1.13,LOW,39,transactional,ideas,40500,27100,27100,22200,18100,22200,33100,49500,40500,40500,33100,33100
vacation rentals near me,33100,2.04,LOW,,commercial,ideas,74000,33100,27100,27100,22200,40500,33100,33100,33100,33100,33100,33100
lowes rentals,33100,0.78,LOW,7,navigational,ideas,33100,33100,27100,27100,22200,22200,22200,40500,49500,49500,40500,40500
ebike rentals,33100,1.6,LOW,3,commercial,ideas,40500,27100,90500,14800,12100,14800,18100,40500,33100,33100,40500,40500
dvc rental store,33100,0.37,LOW,52,commercial,ideas,40500,33100,27100,27100,27100,40500,33100,33100,33100,40500,40500,40500
suit rental,33100,5.2,HIGH,31,transactional,ideas,33100,49500,33100,22200,18100,27100,27100,40500,49500,40500,22200,22200
places for rent,33100,1.57,MEDIUM,60,commercial,ideas,33100,33100,33100,27100,27100,33100,33100,40500,33100,33100,33100,33100
house on rent,33100,1.8,MEDIUM,60,transactional,ideas,33100,33100,27100,27100,27100,40500,33100,40500,40500,40500,40500,40500
tent rentals near me,33100,3.01,HIGH,12,transactional,ideas,40500,33100,27100,18100,14800,27100,22200,40500,49500,49500,49500,40500
rent holiday apartment,33100,1.22,LOW,46,transactional,ideas,2900,5400,2400,1900,49500,301000,5400,4400,4400,3600,3600,4400
cruise america rv rental,33100,0.77,LOW,23,commercial,ideas,33100,27100,22200,27100,60500,49500,18100,27100,27100,40500,40500,40500
dump trailer rental,33100,1.94,MEDIUM,,transactional,ideas,33100,33100,33100,22200,14800,22200,27100,40500,40500,40500,33100,27100
camper van rental,33100,2.17,MEDIUM,41,transactional,ideas,40500,33100,22200,22200,18100,27100,27100,40500,40500,33100,40500,40500
cabin rentals near me,33100,0.96,MEDIUM,19,transactional,ideas,49500,33100,33100,27100,27100,27100,22200,27100,27100,33100,40500,33100
clothing rental services,33100,9.22,LOW,58,commercial,ideas,5400,2400,1900,1900,9900,22200,1600,18100,110000,90500,74000,40500
rental houses near me,33100,1.4,MEDIUM,33,commercial,ideas,40500,33100,33100,27100,27100,33100,33100,40500,33100,33100,33100,33100
dollar rental,33100,1.18,MEDIUM,18,transactional,ideas,40500,33100,27100,27100,27100,27100,27100,40500,33100,33100,33100,33100
cabin rentals,33100,1.12,LOW,11,transactional,ideas,33100,27100,27100,27100,22200,22200,22200,49500,33100,40500,49500,49500
rental car parking,33100,0.73,LOW,8,transactional,ideas,40500,33100,33100,22200,22200,22200,27100,33100,33100,40500,40500,40500
condos for rent,33100,1.39,MEDIUM,,transactional,ideas,33100,27100,27100,22200,22200,33100,33100,40500,33100,33100,33100,33100
rent one,33100,0.57,LOW,6,navigational,ideas,33100,33100,33100,40500,40500,33100,33100,33100,33100,33100,33100,40500
holiday apartments for rent,33100,1.22,LOW,87,transactional,ideas,2900,5400,2400,1900,49500,301000,5400,4400,4400,3600,3600,4400
ennis tx usa,33100,0.61,LOW,46,navigational,sugg_ennis_tx,40500,33100,40500,33100,27100,27100,27100,40500,40500,40500,40500,40500
storage rental,27100,14.38,MEDIUM,41,transactional,ideas,27100,27100,22200,22200,18100,22200,22200,33100,27100,33100,22200,27100
tool rental,27100,1.18,LOW,36,commercial,ideas,40500,33100,33100,22200,18100,18100,18100,33100,33100,27100,27100,33100
atv rentals,27100,1.36,LOW,19,transactional,ideas,33100,27100,22200,14800,14800,18100,18100,27100,27100,27100,33100,33100
rental homes,27100,1.86,MEDIUM,26,transactional,ideas,22200,22200,18100,18100,18100,27100,27100,33100,27100,27100,27100,33100
short term rentals,27100,2.47,LOW,9,commercial,ideas,27100,27100,27100,22200,22200,18100,22200,49500,27100,27100,27100,40500
outer banks rentals,27100,2.15,HIGH,59,commercial,ideas,33100,18100,14800,12100,14800,33100,27100,33100,27100,27100,33100,33100
house rentals,27100,1.97,MEDIUM,41,transactional,ideas,27100,22200,22200,18100,22200,27100,27100,40500,33100,27100,33100,33100
rent apartment,27100,2.09,MEDIUM,36,commercial,ideas,33100,27100,27100,22200,33100,27100,27100,33100,33100,27100,33100,33100
apartment rental agency,27100,1.59,LOW,48,commercial,ideas,22200,18100,18100,18100,22200,40500,27100,27100,22200,27100,22200,33100
rental properties,27100,2.25,LOW,51,commercial,ideas,27100,18100,33100,18100,18100,27100,22200,27100,27100,22200,33100,40500
3 bedroom houses for rent,27100,1.42,MEDIUM,,transactional,ideas,33100,27100,27100,22200,22200,33100,33100,33100,33100,27100,27100,22200
apartment rental agents,27100,1.59,LOW,23,commercial,ideas,22200,18100,18100,18100,22200,40500,27100,27100,22200,27100,22200,33100
apartments.com rentals,27100,2.28,LOW,18,navigational,ideas,9900,14800,6600,5400,22200,135000,9900,60500,14800,12100,5400,14800
rug doctor rental,27100,0.78,MEDIUM,28,commercial,ideas,33100,27100,27100,27100,22200,22200,18100,27100,27100,27100,27100,27100
scaffolding rental,27100,1.73,HIGH,,transactional,ideas,33100,33100,33100,27100,22200,22200,22200,33100,27100,27100,27100,33100
taylor rental,27100,2.46,LOW,12,navigational,ideas,33100,27100,27100,22200,18100,14800,14800,22200,27100,33100,33100,27100
rental properties near me,27100,1.47,MEDIUM,37,commercial,ideas,33100,33100,27100,22200,22200,27100,27100,33100,27100,27100,27100,27100
condos for rent near me,27100,1.54,HIGH,,transactional,ideas,27100,22200,22200,22200,22200,27100,27100,27100,27100,27100,22200,27100
studio for rent,27100,1.87,MEDIUM,,transactional,ideas,27100,27100,27100,22200,22200,27100,27100,33100,27100,27100,27100,33100
room for rent,27100,1.6,MEDIUM,17,commercial,ideas,40500,27100,27100,27100,27100,33100,27100,27100,27100,27100,27100,33100
mobile homes for rent,27100,1.77,LOW,6,transactional,ideas,40500,33100,27100,22200,22200,27100,27100,33100,27100,27100,27100,27100
slingshot polaris for sale,27100,0.88,LOW,,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100
polaris slingshot for sale,27100,0.88,LOW,,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100
polaris slingshot s for sale,27100,0.88,LOW,14,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100
slingshot polaris sale,27100,0.88,LOW,,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100
for sale polaris slingshot,27100,0.88,LOW,,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100
slingshot ride,22200,1.61,LOW,,transactional,ideas,33100,27100,22200,14800,12100,14800,12100,22200,22200,27100,22200,27100
rental return,22200,0.29,LOW,18,informational,ideas,33100,33100,33100,18100,14800,9900,12100,18100,22200,27100,33100,33100
rent an rv,22200,1.8,HIGH,55,transactional,ideas,22200,18100,14800,14800,12100,18100,18100,22200,22200,27100,27100,27100
airbnb miami,22200,0.67,MEDIUM,22,navigational,ideas,18100,18100,18100,18100,22200,33100,27100,27100,22200,18100,18100,18100
equipment rental companies,22200,4.74,LOW,67,commercial,ideas,90500,60500,6600,9900,14800,5400,8100,6600,8100,6600,6600,8100
homes for rent by owner near me,22200,1.11,MEDIUM,18,transactional,ideas,33100,22200,18100,18100,14800,22200,18100,22200,22200,27100,22200,27100
office space for rent,22200,12.7,MEDIUM,17,commercial,ideas,22200,22200,18100,18100,14800,22200,22200,27100,22200,18100,14800,22200
2 bedroom houses for rent,22200,1.34,MEDIUM,,transactional,ideas,27100,22200,18100,18100,18100,22200,22200,27100,22200,18100,18100,18100
pod rental,22200,10.27,HIGH,57,transactional,ideas,22200,22200,18100,18100,14800,18100,18100,22200,22200,27100,22200,22200
chair rentals,22200,2.89,MEDIUM,4,commercial,ideas,27100,33100,22200,33100,18100,18100,18100,22200,22200,27100,27100,22200
for rent by owner,22200,1.07,MEDIUM,,transactional,ideas,22200,18100,18100,14800,14800,22200,22200,22200,22200,22200,22200,22200
scaffolding rental services,22200,0.93,LOW,,navigational,ideas,590,880,590,590,246000,590,1000,1300,720,1000,880,880
emergency rental assistance,22200,4.96,MEDIUM,53,informational,ideas,27100,22200,27100,27100,27100,27100,22200,22200,22200,22200,22200,22200
construction equipment rental,22200,4.08,LOW,40,commercial,ideas,33100,14800,14800,49500,90500,8100,6600,8100,8100,5400,5400,8100
houses for rent by owner,22200,1.26,MEDIUM,5,transactional,ideas,27100,22200,22200,18100,18100,22200,22200,27100,22200,22200,18100,18100
lens rentals,22200,0.81,MEDIUM,27,commercial,ideas,27100,27100,27100,22200,18100,18100,18100,27100,27100,27100,22200,22200
scissor lift rental,22200,4.34,HIGH,,transactional,ideas,33100,22200,27100,22200,18100,18100,18100,22200,27100,18100,18100,22200
4 bedroom houses for rent,22200,1.52,MEDIUM,,transactional,ideas,27100,22200,22200,18100,22200,27100,27100,27100,27100,22200,22200,22200
rent app,22200,5.77,MEDIUM,49,transactional,ideas,27100,27100,33100,27100,33100,27100,22200,22200,22200,18100,14800,14800
rental assistance program,22200,3.8,LOW,46,informational,ideas,40500,27100,27100,27100,22200,22200,18100,18100,18100,22200,22200,22200
tent rentals,22200,3.1,HIGH,18,transactional,ideas,27100,33100,18100,14800,12100,18100,14800,22200,27100,33100,33100,27100
excavator rental,22200,2.54,HIGH,5,transactional,ideas,27100,22200,22200,14800,12100,14800,14800,27100,22200,22200,22200,18100
section 8 houses for rent,22200,2.12,LOW,42,informational,ideas,33100,27100,22200,18100,18100,27100,22200,27100,22200,22200,22200,22200
zillow for rent,22200,0.44,LOW,32,navigational,ideas,18100,18100,18100,14800,18100,27100,14800,18100,33100,27100,22200,49500
ennis tx,22200,1.37,LOW,17,navigational,sugg_ennis_tx,18100,18100,22200,18100,18100,18100,22200,33100,33100,22200,22200,22200
boom lift rental,18100,3.17,HIGH,,transactional,ideas,22200,18100,22200,22200,12100,12100,14800,18100,18100,18100,18100,18100
rent the rental,18100,4.06,LOW,33,transactional,ideas,14800,18100,18100,18100,14800,18100,14800,18100,14800,14800,14800,14800
beach house rentals,18100,1.62,MEDIUM,18,transactional,ideas,14800,8100,6600,9900,27100,12100,12100,27100,22200,18100,22200,22200
emergency rental assistance program,18100,3.19,LOW,46,informational,ideas,40500,33100,33100,27100,18100,18100,12100,9900,12100,18100,9900,5400
home depot van rental,18100,0.13,MEDIUM,,navigational,ideas,22200,18100,14800,18100,14800,14800,14800,18100,18100,22200,22200,27100
split rent,18100,11.41,MEDIUM,29,informational,ideas,8100,8100,9900,9900,12100,14800,18100,18100,27100,40500,40500,27100
long term car rental,18100,5.01,HIGH,14,transactional,ideas,22200,18100,18100,18100,14800,18100,14800,22200,18100,18100,14800,14800
minivan rental,18100,3.48,HIGH,2,transactional,ideas,22200,12100,12100,14800,14800,12100,14800,22200,18100,22200,27100,27100
clothing rental,18100,6.77,HIGH,40,commercial,ideas,18100,18100,14800,14800,14800,18100,18100,18100,18100,18100,14800,14800
trulia homes for rent,18100,0.84,LOW,51,navigational,ideas,12100,12100,9900,14800,12100,33100,33100,12100,40500,40500,8100,8100
trulia rentals,18100,1.04,LOW,37,navigational,ideas,22200,18100,18100,14800,14800,18100,18100,22200,18100,18100,18100,18100
summer rental,18100,1.96,LOW,15,transactional,ideas,18100,12100,27100,14800,12100,9900,9900,9900,12100,27100,22200,27100
car trailer rental,18100,2.3,MEDIUM,11,transactional,ideas,27100,22200,18100,14800,14800,14800,14800,18100,18100,18100,18100,18100
trencher rental,18100,0.97,MEDIUM,,transactional,ideas,22200,18100,18100,12100,8100,9900,12100,22200,22200,22200,22200,18100
american rental,18100,0.56,LOW,,commercial,ideas,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100
vrbo vacation rentals,18100,1.2,LOW,100,navigational,ideas,33100,27100,22200,18100,18100,14800,6600,6600,6600,14800,22200,27100
event rentals,18100,3.1,LOW,61,commercial,ideas,18100,22200,22200,18100,14800,27100,12100,18100,14800,12100,12100,12100
dave's dvc rental,18100,0.4,LOW,17,navigational,ideas,14800,14800,18100,14800,14800,22200,18100,22200,22200,18100,18100,18100
houses for rent san antonio,18100,2.85,MEDIUM,5,transactional,ideas,18100,18100,14800,14800,14800,18100,18100,18100,18100,18100,18100,18100
avis rental,18100,2.33,MEDIUM,19,commercial,ideas,22200,18100,18100,18100,18100,14800,18100,22200,18100,18100,18100,18100
rent a pool,18100,1.01,LOW,24,transactional,ideas,27100,8100,3600,2900,2900,5400,6600,18100,22200,33100,49500,49500
go rentals,18100,1.35,LOW,27,commercial,ideas,14800,18100,18100,14800,18100,18100,18100,22200,18100,22200,22200,22200
rent 2 own,18100,0.6,LOW,19,commercial,ideas,14800,14800,18100,18100,18100,14800,14800,14800,14800,14800,33100,14800
houses for rent private owner,18100,1.39,MEDIUM,,transactional,ideas,18100,18100,14800,14800,14800,18100,22200,22200,18100,18100,18100,18100
cabins for rent near me,18100,1.1,MEDIUM,,transactional,ideas,27100,18100,22200,18100,14800,14800,12100,14800,14800,18100,22200,22200
slingshot rental,14800,1.47,MEDIUM,28,transactional,sugg_slingshot_rental,22200,12100,9900,5400,4400,6600,6600,18100,18100,22200,33100,22200
bluebonnet newspaper,14800,,LOW,9,informational,sugg_bluebonnet,18100,18100,18100,14800,14800,14800,14800,18100,14800,14800,14800,14800
bluebonnet ford in new braunfels,14800,1.79,HIGH,13,navigational,sugg_bluebonnet,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
bluebonnet news,14800,,LOW,6,informational,sugg_bluebonnet,18100,18100,18100,14800,14800,14800,14800,18100,14800,14800,14800,14800
bluebonnet ford,14800,1.79,HIGH,19,informational,sugg_bluebonnet,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
bluebonnet ford new braunfels tx,14800,1.79,HIGH,9,navigational,sugg_bluebonnet,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
bluebonnet ford new braunfels texas,14800,1.79,HIGH,12,navigational,sugg_bluebonnet,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800
motorplex ennis tx,14800,1.74,LOW,7,navigational,sugg_ennis_tx,9900,14800,40500,12100,4400,5400,9900,49500,12100,9900,8100,6600
texas motorplex ennis tx,14800,1.74,LOW,14,navigational,sugg_ennis_tx,9900,14800,40500,12100,4400,5400,9900,49500,12100,9900,8100,6600
texas bluebonnet,12100,0.15,MEDIUM,8,informational,sugg_bluebonnet,8100,8100,6600,5400,5400,9900,9900,27100,22200,14800,9900,8100
bluebonnet electric company,12100,12.01,LOW,8,navigational,sugg_bluebonnet,12100,12100,12100,9900,12100,14800,9900,12100,12100,12100,12100,12100
bluebonnet electric cooperative,12100,12.01,LOW,8,navigational,sugg_bluebonnet,12100,12100,12100,9900,12100,14800,9900,12100,12100,12100,12100,12100
marble falls bluebonnet cafe,12100,2.54,LOW,4,navigational,sugg_bluebonnet,12100,9900,12100,12100,14800,9900,12100,14800,12100,14800,14800,14800
bluebonnet cafe in marble falls,12100,2.54,LOW,,navigational,sugg_bluebonnet,12100,9900,12100,12100,14800,9900,12100,14800,12100,14800,14800,14800
bluebonnet cafe marble falls tx,12100,2.54,LOW,1,navigational,sugg_bluebonnet,12100,9900,12100,12100,14800,9900,12100,14800,12100,14800,14800,14800
bluebonnet electric co,12100,12.01,LOW,5,navigational,sugg_bluebonnet,12100,12100,12100,9900,12100,14800,9900,12100,12100,12100,12100,12100
bluebonnet cafe,12100,2.54,LOW,7,navigational,sugg_bluebonnet,12100,9900,12100,12100,14800,9900,12100,14800,12100,14800,14800,14800
bluebonnet electric,12100,12.01,LOW,8,transactional,sugg_bluebonnet,12100,12100,12100,9900,12100,14800,9900,12100,12100,12100,12100,12100
bluebonnet trails williamson county,8100,18.13,LOW,,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet trail,8100,18.13,LOW,6,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet services,8100,18.13,LOW,1,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet mhmr,8100,18.13,LOW,,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet trails community services,8100,18.13,LOW,,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet trails georgetown,8100,18.13,LOW,,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet trails,8100,18.13,LOW,6,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
bluebonnet service,8100,18.13,LOW,,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100
slingshot rental near me,6600,1.53,MEDIUM,25,transactional,sugg_slingshot_rental,9900,6600,4400,2400,2400,1900,3600,6600,8100,8100,9900,8100
price polaris slingshot,6600,1.55,LOW,14,transactional,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
slingshot polaris price,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot price,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
slingshot polaris cost,6600,1.55,LOW,,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
cost of a polaris slingshot,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot cost,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
slingshot by polaris price,6600,1.55,LOW,14,transactional,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot prices,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot msrp,6600,1.55,LOW,60,transactional,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot s price,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
price for polaris slingshot,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
polaris slingshot pricing,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100
bluebonnet flower,6600,0.16,MEDIUM,8,informational,sugg_bluebonnet,4400,5400,6600,5400,5400,6600,6600,12100,12100,8100,5400,4400
baton rouge general bluebonnet,6600,1.87,LOW,11,informational,sugg_bluebonnet,6600,6600,6600,5400,8100,6600,6600,6600,6600,8100,8100,8100
bluebonnet elementary,6600,2.68,LOW,28,navigational,sugg_bluebonnet,9900,6600,8100,5400,5400,6600,6600,6600,6600,6600,2900,3600
